ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
199 3 21.654 10.2436 2.66311 -0.122343
95 3 73.1615 5.27819 -0.0879438 -0.0867708
94 3 72.3058 6.16175 0.202676 -0.0867708
1981 3 9.14246 12.5442 -1.78987 -0.0919577
1980 3 7.94204 12.1958 -1.69751 -0.430591
353 1 7.34963 12.647 -1.74551 0.473181
1959 2 14.9972 16.7759 -0.458703 -0.289212
1961 1 15.0032 16.1338 -1.34447 0.132633
1960 1 14.195 16.6718 0.251401 0.132684
200 3 21.346 10.7669 3.74846 -0.126534
2175 1 52.819 15.3905 -1.64301 0.0696252
290 1 56.1602 13.6278 -1.26794 0.0718433
292 2 55.867 12.0284 -2.78504 -0.259881
293 1 56.9095 11.8999 -3.09096 0.186828
2181 1 56.0497 14.2165 -2.91284 0.0652245
289 2 55.6695 13.4802 -2.22023 -0.0874389
2174 1 54.5078 15.6491 -1.2129 0.0786372
294 1 55.6623 11.281 -2.04077 0.117663
2173 2 53.843 15.1829 -1.97253 -0.093731
286 2 54.0918 13.6397 -2.08644 -0.108072
287 1 53.7681 13.1608 -1.18747 0.0657758
676 1 58.9136 15.8584 3.53401 0.021364
887 1 59.5813 16.1005 3.9535 0.00998957
1962 1 15.6503 17.6079 -0.354608 0.132181
135 1 34.3037 22.8067 -0.569401 0.0659325
2021 1 36.4253 20.717 0.436079 0.14824
130 2 35.467 21.2011 0.249472 -0.159541
447 1 34.6232 20.6119 0.55792 0.124605
133 2 35.3533 22.5685 -0.316301 -0.0621044
2029 1 35.9878 21.8749 -2.35529 0.147408
2085 3 35.6505 18.4925 -1.54033 -0.141309
2026 2 36.2656 22.6661 -1.65291 -0.236549
2028 1 37.3048 22.5247 -1.40486 0.115873
2086 3 36.3295 19.5101 -1.86648 -0.1578
2024 1 35.6567 23.3366 0.428931 0.059364
2027 1 36.1978 23.6382 -2.16705 0.086525
2191 3 54.1981 20.0224 -2.46059 -0.119635
2259 1 6.58893 34.8639 -3.06859 0.134508
2258 1 7.47866 36.3251 -2.62619 0.186502
2260 1 7.85642 34.8488 -1.84844 0.103935
2257 2 7.59195 35.2799 -2.7812 -0.27447
403 3 29.5321 31.7091 1.35895 -0.0911867
503 1 28.2253 36.2175 -1.07978 0.124939
505 1 29.6397 36.7262 -0.0752409 0.0879251
404 3 28.5282 31.5042 2.10546 -0.0906268
504 1 29.8504 35.5772 -1.40672 0.153568
502 2 29.314 36.4815 -1.13073 -0.228509
2401 3 34.0514 37.1584 -1.85663 -0.144303
2397 3 34.5099 33.5838 -1.97883 -0.168846
886 1 44.7968 37.0252 3.07435 0.0499798
2403 3 56.7943 35.1466 -0.933832 -0.132643
2402 3 56.989 36.2203 -1.60966 -0.143755
2461 1 54.3645 31.6098 -2.17581 0.0791807
2460 2 54.1762 32.4604 -2.78258 -0.0434778
614 3 66.829 31.7168 1.50253 -0.0865592
613 3 67.1464 32.37 2.538 -0.087236
336 1 77.4866 33.4554 3.71038 0.0273265
942 3 58.8728 -2.94975 5.03957 -0.0873144
1276 1 63.3844 2.84417 7.71404 0.0511351
60 1 8.73789 7.12677 10.2319 0.0685242
57 1 8.2209 4.96477 9.24322 0.0948967
189 1 22.1699 8.3978 6.93854 0.135302
2076 1 22.7407 8.6346 3.87643 0.169138
185 1 22.0843 7.17347 4.67965 0.102331
187 2 22.728 8.85789 6.13109 -0.261207
184 2 22.4676 8.16 4.81213 -0.137577
190 1 23.7889 8.7026 6.35609 0.176746
188 1 22.4709 9.94577 6.02031 0.155582
837 3 25.0803 7.4793 7.76395 -0.21206
120 1 27.2314 6.15516 9.78534 0.168398
117 1 29.2563 4.73544 8.94435 0.0565665
116 2 29.4157 5.72832 9.34366 -0.0842723
113 2 30.722 5.81603 10.2051 -0.120646
119 2 28.2116 6.13891 10.2828 -0.303833
118 1 29.4655 6.40916 8.48328 0.081904
110 2 31.8329 6.35818 9.2239 -0.0921613
112 1 31.9943 5.60725 8.40356 0.0571409
122 1 28.3697 7.15099 10.6658 0.222977
111 1 31.4981 7.23215 8.70939 0.0812103
109 1 33.9098 7.12001 9.4237 0.0921378
106 2 33.1417 6.61575 10.0367 -0.211917
208 3 39.902 16.2915 4.77673 -0.089321
207 3 41.1421 16.0573 4.8869 -0.0891594
213 1 55.5052 14.4466 9.20687 0.207947
214 1 55.8772 13.2897 7.91836 0.106403
211 2 56.3002 13.7869 8.79515 -0.28355
212 1 56.6087 13.0792 9.54911 0.130212
215 2 57.5063 14.669 8.47548 0.0412276
218 2 58.4011 15.4103 8.14228 -0.00787889
311 3 56.2017 16.6457 10.1236 -0.131719
222 1 59.9015 16.1481 6.78235 0.0675289
221 2 59.5995 16.2796 7.80969 -0.100489
223 1 60.472 16.0192 8.41813 0.0766266
103 3 5.96448 23.8548 6.01695 -0.0868196
2464 1 43.2652 21.8686 7.46187 0.117699
2465 1 42.1416 21.8924 6.10021 0.130765
2466 1 42.9841 23.3857 6.63475 0.117409
2463 2 42.4916 22.4612 6.96173 -0.351778
2357 1 41.6613 22.6311 7.6805 0.120826
278 1 50.9584 24.3517 4.8325 0.119424
227 1 58.8221 17.8768 9.09783 0.149215
226 1 58.3672 18.1057 7.39725 0.117203
224 2 59.1797 17.8069 8.06773 -0.236178
225 1 60.0031 18.4819 7.88768 0.0852985
304 3 66.7604 20.3595 9.96631 -0.364059
910 1 66.1101 20.3851 10.5162 0.410409
305 3 68.0131 20.2992 9.98449 -0.0662839
102 3 5.10826 24.7101 6.38037 -0.0867422
508 3 34.4746 30.423 7.3338 -0.0750106
275 2 51.9868 24.7018 5.06845 -0.264842
277 1 52.5415 25.239 4.28865 0.122629
276 1 52.2648 24.8553 6.10668 0.126386
127 2 20.3267 37.4679 8.94587 -0.0526599
438 2 20.421 36.3779 9.40623 -0.0529181
439 1 20.4807 35.3916 9.83041 0.0904563
429 1 33.7125 36.5734 6.82817 0.0657627
509 3 34.7874 31.6377 7.16399 -0.124272
425 2 34.6871 36.3903 8.80182 -0.108855
433 1 36.4117 35.0699 7.22741 0.0778228
428 2 34.7256 36.5176 7.24183 -0.104307
436 1 34.7206 35.5742 4.62757 0.106147
431 2 35.4532 35.237 6.68513 -0.122421
434 2 35.6916 35.4933 5.15772 -0.226819
435 1 36.28 34.6809 4.73809 0.115338
437 1 36.2429 36.4129 5.02744 0.0939459
432 1 34.8825 34.3171 6.8158 0.130011
427 1 34.141 35.5063 9.09501 0.10616
426 1 35.7151 36.2664 9.17178 0.0688006
525 3 52.3788 31.327 8.96274 -0.0874345
524 3 52.333 32.3953 9.65455 -0.092363
527 1 63.3609 36.9032 8.57736 0.0916408
529 1 65.0844 36.7412 9.0362 0.0885225
526 2 64.2419 37.4453 8.89021 -0.205429
335 1 77.1413 32.6894 3.82487 0.027332
715 1 0.961255 2.85617 15.354 0.152896
712 2 0.573892 2.04832 15.9573 -0.287652
714 1 0.581481 2.10708 17.0575 0.190119
713 1 0.285407 1.11899 15.4984 0.137541
315 3 -1.20913 3.44212 17.2443 -0.13303
53 1 16.6019 3.92212 15.7893 0.123806
17 1 27.0484 0.381006 10.5745 0.0871898
13 1 27.6124 0.644779 13.1828 0.0918428
12 1 25.8221 0.963113 13.3883 0.0921927
