LAMMPS (4 Feb 2025 - Development - patch_4Feb2025-554-g465171d58f)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
=== HEATING PHASE ===
Rate = 1 K/ps
Duration = 2006 ps = 20060000 steps
Reading restart file ...
  restart file = 4 Feb 2025, LAMMPS = 4 Feb 2025
  restoring atom style charge from restart
  orthogonal box = (-6.9917407 -6.9917407 -3.4958703) to (56.991741 56.991741 28.49587)
  2 by 2 by 2 MPI processor grid
  pair style reaxff stores no restart info
  420 atoms
  read_restart CPU = 0.003 seconds
Reading potential file ffield.reax.cho with DATE: 2011-02-18
=== STARTING HEATING ===

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: No fixes with time integration, atoms won't move
For more information see https://docs.lammps.org/err0028 (src/verlet.cpp:60)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 11 11 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reax, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 20001
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 11.15 | 11.82 | 12.61 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
     20001   311.18833     -40694.965      388.66159     -40306.303      79.891288      130970.54    
     21000   311.18833     -40694.969      388.66159     -40306.307      79.79412       130970.54    
     22000   311.18833     -40694.963      388.66159     -40306.302      79.938537      130970.54    
     23000   311.18833     -40694.965      388.66159     -40306.304      79.882401      130970.54    
     24000   311.18833     -40694.967      388.66159     -40306.305      79.813894      130970.54    
     25000   311.18833     -40694.969      388.66159     -40306.307      79.783168      130970.54    
     26000   311.18833     -40694.967      388.66159     -40306.305      79.835716      130970.54    
     27000   311.18833     -40694.967      388.66159     -40306.305      79.854617      130970.54    
     28000   311.18833     -40694.97       388.66159     -40306.308      79.806956      130970.54    
     29000   311.18833     -40694.968      388.66159     -40306.306      79.744999      130970.54    
     30000   311.18833     -40694.968      388.66159     -40306.306      79.731251      130970.54    
     31000   311.18833     -40694.966      388.66159     -40306.304      79.839716      130970.54    
     32000   311.18833     -40694.964      388.66159     -40306.302      79.823871      130970.54    
     33000   311.18833     -40694.969      388.66159     -40306.307      79.753954      130970.54    
     34000   311.18833     -40694.968      388.66159     -40306.306      79.854182      130970.54    
     35000   311.18833     -40694.968      388.66159     -40306.307      79.789119      130970.54    
     36000   311.18833     -40694.965      388.66159     -40306.304      79.875774      130970.54    
     37000   311.18833     -40694.963      388.66159     -40306.301      79.894376      130970.54    
     38000   311.18833     -40694.969      388.66159     -40306.307      79.803346      130970.54    
     39000   311.18833     -40694.969      388.66159     -40306.308      79.822938      130970.54    
     40000   311.18833     -40694.97       388.66159     -40306.308      79.815075      130970.54    
     41000   311.18833     -40694.967      388.66159     -40306.305      79.867978      130970.54    
     42000   311.18833     -40694.968      388.66159     -40306.307      79.853535      130970.54    
     43000   311.18833     -40694.969      388.66159     -40306.307      79.821853      130970.54    
     44000   311.18833     -40694.97       388.66159     -40306.308      79.821453      130970.54    
     45000   311.18833     -40694.965      388.66159     -40306.304      79.903471      130970.54    
     46000   311.18833     -40694.968      388.66159     -40306.306      79.812057      130970.54    
     47000   311.18833     -40694.967      388.66159     -40306.305      79.816446      130970.54    
     48000   311.18833     -40694.969      388.66159     -40306.308      79.745073      130970.54    
     49000   311.18833     -40694.965      388.66159     -40306.303      79.869237      130970.54    
     50000   311.18833     -40694.965      388.66159     -40306.304      79.870293      130970.54    
     51000   311.18833     -40694.967      388.66159     -40306.306      79.798412      130970.54    
     52000   311.18833     -40694.964      388.66159     -40306.303      79.841446      130970.54    
     53000   311.18833     -40694.967      388.66159     -40306.305      79.823882      130970.54    
     54000   311.18833     -40694.969      388.66159     -40306.307      79.854706      130970.54    
     55000   311.18833     -40694.966      388.66159     -40306.304      79.752335      130970.54    
     56000   311.18833     -40694.966      388.66159     -40306.305      79.818223      130970.54    
     57000   311.18833     -40694.969      388.66159     -40306.307      79.814504      130970.54    
     58000   311.18833     -40694.962      388.66159     -40306.3        79.922043      130970.54    
     59000   311.18833     -40694.968      388.66159     -40306.306      79.797304      130970.54    
     60000   311.18833     -40694.967      388.66159     -40306.305      79.880754      130970.54    
     61000   311.18833     -40694.97       388.66159     -40306.308      79.731605      130970.54    
     62000   311.18833     -40694.965      388.66159     -40306.303      79.832983      130970.54    
     63000   311.18833     -40694.966      388.66159     -40306.304      79.865293      130970.54    
     64000   311.18833     -40694.969      388.66159     -40306.308      79.674963      130970.54    
     65000   311.18833     -40694.968      388.66159     -40306.306      79.857717      130970.54    
     66000   311.18833     -40694.961      388.66159     -40306.299      79.873013      130970.54    
     67000   311.18833     -40694.967      388.66159     -40306.305      79.739703      130970.54    
     68000   311.18833     -40694.964      388.66159     -40306.302      79.864357      130970.54    
     69000   311.18833     -40694.968      388.66159     -40306.306      79.791628      130970.54    
     70000   311.18833     -40694.963      388.66159     -40306.302      79.836907      130970.54    
     71000   311.18833     -40694.959      388.66159     -40306.297      79.883843      130970.54    
