LAMMPS (4 Feb 2025 - Development - patch_4Feb2025-554-g465171d58f)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
=== HOLD PHASE ===
Holding at 2300 K for 200 ps (2000000 steps)
Reading restart file ...
  restart file = 4 Feb 2025, LAMMPS = 4 Feb 2025
  restoring atom style charge from restart
  orthogonal box = (-6.9917407 -6.9917407 -3.4958703) to (56.991741 56.991741 28.49587)
  2 by 2 by 2 MPI processor grid
  pair style reaxff stores no restart info
  420 atoms
  read_restart CPU = 0.002 seconds
Reading potential file ffield.reax.cho with DATE: 2011-02-18
=== STARTING HOLD ===

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: No fixes with time integration, atoms won't move
For more information see https://docs.lammps.org/err0028 (src/verlet.cpp:60)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 11 11 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reax, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 20080001
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 11.15 | 11.82 | 12.61 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
  20080001   311.18833     -40694.965      388.66159     -40306.303      79.891288      130970.54    
  20081000   311.18833     -40694.969      388.66159     -40306.307      79.79412       130970.54    
  20082000   311.18833     -40694.963      388.66159     -40306.302      79.938537      130970.54    
  20083000   311.18833     -40694.965      388.66159     -40306.304      79.882401      130970.54    
  20084000   311.18833     -40694.967      388.66159     -40306.305      79.813894      130970.54    
  20085000   311.18833     -40694.969      388.66159     -40306.307      79.783168      130970.54    
  20086000   311.18833     -40694.967      388.66159     -40306.305      79.835716      130970.54    
  20087000   311.18833     -40694.967      388.66159     -40306.305      79.854617      130970.54    
  20088000   311.18833     -40694.97       388.66159     -40306.308      79.806956      130970.54    
  20089000   311.18833     -40694.968      388.66159     -40306.306      79.744999      130970.54    
  20090000   311.18833     -40694.968      388.66159     -40306.306      79.731251      130970.54    
  20091000   311.18833     -40694.966      388.66159     -40306.304      79.839716      130970.54    
  20092000   311.18833     -40694.964      388.66159     -40306.302      79.823871      130970.54    
  20093000   311.18833     -40694.969      388.66159     -40306.307      79.753954      130970.54    
  20094000   311.18833     -40694.968      388.66159     -40306.306      79.854182      130970.54    
  20095000   311.18833     -40694.968      388.66159     -40306.307      79.789119      130970.54    
  20096000   311.18833     -40694.965      388.66159     -40306.304      79.875774      130970.54    
  20097000   311.18833     -40694.963      388.66159     -40306.301      79.894376      130970.54    
  20098000   311.18833     -40694.969      388.66159     -40306.307      79.803346      130970.54    
  20099000   311.18833     -40694.969      388.66159     -40306.308      79.822938      130970.54    
  20100000   311.18833     -40694.97       388.66159     -40306.308      79.815075      130970.54    
  20101000   311.18833     -40694.967      388.66159     -40306.305      79.867978      130970.54    
  20102000   311.18833     -40694.968      388.66159     -40306.307      79.853535      130970.54    
  20103000   311.18833     -40694.969      388.66159     -40306.307      79.821853      130970.54    
  20104000   311.18833     -40694.97       388.66159     -40306.308      79.821453      130970.54    
